id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
6228;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;ANALISTA;0;0;10/15/2015;01/01/2999
685; Colombia; Cundinamarca; Bogot? D.C.; Lewin Y Wills Abogados; Abogada Junior;D;D;01/01/2009;01/01/2099
4274; Colombia; Cundinamarca; Bogot? D.C.; Banco De Bogot?; Gerente De Oficina;D;D;01/08/2013;01/01/2099
2333; Colombia; Cundinamarca; Bogot? D.C.; Mansarovas; Analista De Planeacion Corporativa;D;D;01/08/2011;01/01/2099
3923; Colombia; Cundinamarca; Bogot? D.C.; Symrise Ltda.; Evaluadora;D;D;01/01/2012;01/01/2099
3968; Colombia; Cundinamarca; Bogot? D.C.; Banco Davivienda; Profecional;D;D;01/01/2012;01/01/2099
2392; Colombia; Cundinamarca; Bogot? D.C.; Rs Corp; Asistente Financiera;D;D;01/08/2011;01/01/2099
6359;CANADA;ONTARIO;OTTAWA;NA;NA;0;0;9/14/2016;01/01/2999
7183;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;11/30/2014;01/01/2999
6386;COLOMBIA;ANTIOQUIA;MEDELLIN;NA;NA;0;0;10/14/2005;01/01/2999
213; Colombia; Cundinamarca; Bogot? D.C.; Ecsol S.A; Director Area Tecnica;D;D;01/08/2009;01/01/2099
3233; Colombia; Cundinamarca; Bogot? D.C.; Procter & Gamble; Analista Financiero;D;D;01/08/2012;01/01/2099
5436;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;10/13/2011;01/01/2999
3951; Colombia; Cundinamarca; Bogot? D.C.; BLU LOGISTICS COLOMBIA SAS; Abogada;D;D;01/01/2012;01/01/2099
2764; Colombia; Cundinamarca; Bogot? D.C.; UNIVERSIDAD DE LOS ANDES / BRIGARD Y URRUTIA ABOGADOS; PROFESORA ASISTENTE / ASOCIADA;D;D;01/01/2011;01/01/2099
5775;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASISTENTE DE INVESTIGACION;0;0;11/15/2016;01/01/2999
6185;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;2/2/2016;01/01/2999
5567;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ADMINISTRADOR;0;0;8/8/2016;01/01/2999
5440;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;EJECUTIVO;0;0;11/21/2016;01/01/2999
112; Colombia; Cundinamarca; Bogot? D.C.; Laboratorios Veterland; Directora Adiministrativa;D;D;01/08/2009;01/01/2099
6567;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL;0;0;9/30/2015;01/01/2999
1007;NA;NA;NA; Telefonica Moviles; Joven Profesional;D;D;01/08/2010;01/01/2099
1836; Colombia; Cundinamarca; Bogot? D.C.; Corficolombiana; Analista De Inversiones;D;D;01/01/2010;01/01/2099
6433;COLOMBIA;CORDOBA;MONTERIA;NA;NA;0;0;6/9/2016;01/01/2999
4300; Colombia; Cundinamarca; Bogot? D.C.; Aireflex De Colombia; Ingeniero De Dise?o;D;D;01/08/2013;01/01/2099
3134; Colombia; Cundinamarca; Bogot? D.C.; SOI Solutions S.a.s.; Gerente Calidad;D;D;01/08/2012;01/01/2099
5882;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;DIRECTORA;0;0;11/29/2016;01/01/2999
5837;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;GERENTE DE LINEA;0;0;2/20/2008;01/01/2999
5327;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;GERENTE GENERAL;0;0;6/19/2013;01/01/2999
