id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
17332;30;F;1;1;Baja;0.0;0.0;-1;26796;-1
26298;42;F;1;1;Baja;0.0;0.0;-1;35107;-1
15587;-1;M;0;1;Media;0.0;0.0;-1;25184;-1
4575;27;M;1;1;Media;0.0;0.0;-1;15121;-1
2750;25;F;0;1;Baja;0.0;0.0;-1;13504;-1
12236;28;F;1;1;Alta;0.0;0.0;-1;22081;-1
22943;53;M;1;1;Baja;0.0;0.0;-1;31987;-1
520;68;F;0;1;Media;0.0;0.0;-1;-1;-1
24849;36;F;1;1;Media;0.0;0.0;-1;33755;-1
21660;49;F;0;0;Baja;0.0;0.0;3006;-1;-1
764;32;M;1;1;Alta;0.0;0.0;-1;11821;-1
571;27;F;1;1;Media;0.0;0.0;-1;11674;-1
25817;58;M;1;1;Alta;0.0;0.0;-1;34651;-1
1574;27;M;1;1;Alta;0.0;0.0;-1;12482;-1
35760;60;M;0;1;Media;0.0;0.0;-1;43889;-1
36699;32;M;1;1;Media;0.0;0.0;-1;44761;-1
3194;29;M;1;1;Alta;0.0;0.0;-1;13889;-1
38236;51;F;1;1;Alta;0.0;0.0;-1;46161;-1
20329;30;M;1;1;Alta;0.0;0.0;-1;29545;-1
9110;-1;F;0;0;Baja;0.0;0.0;2507;-1;-1
33603;43;F;0;1;Baja;0.0;0.0;-1;41885;-1
34901;76;M;1;1;Media;0.0;0.0;-1;43090;-1
20076;57;M;1;1;Alta;0.0;0.0;2523;29305;-1
6733;79;M;0;1;Media;0.0;0.0;-1;-1;-1
17708;24;M;1;1;Media;0.0;0.0;-1;27135;-1
28612;46;M;1;1;Baja;0.0;0.0;-1;37279;-1
37348;42;F;0;1;Baja;0.0;0.0;-1;45341;-1
29353;41;F;1;1;Media;0.0;0.0;-1;37957;-1
31265;41;M;1;1;Media;0.0;0.0;-1;39727;-1
28325;50;F;1;1;Media;0.0;0.0;-1;37014;-1
27215;30;F;1;1;Media;0.0;0.0;-1;35974;-1
4914;69;F;1;1;Media;0.0;0.0;-1;-1;-1
30504;45;M;0;1;Baja;0.0;0.0;-1;39019;-1
18442;-1;M;1;1;Media;0.0;0.0;-1;27814;-1
21171;58;F;1;1;Media;0.0;0.0;-1;30333;-1
6430;32;M;1;1;Alta;0.0;0.0;-1;16788;-1
39598;38;M;1;1;Alta;0.0;0.0;945;47439;-1
41185;39;F;1;1;Alta;0.0;0.0;-1;48865;-1
4675;46;M;0;0;Baja;0.0;0.0;-1;15206;-1
29086;42;M;1;1;Alta;0.0;0.0;-1;37711;-1
2396;25;M;1;1;Media;0.0;0.0;-1;13193;-1
5691;40;F;0;1;Media;0.0;0.0;-1;16114;-1
38782;28;M;1;1;Alta;0.0;0.0;-1;46677;-1
32416;35;F;1;1;Media;0.0;0.0;-1;40778;-1
38653;31;M;1;1;Alta;0.0;0.0;-1;46550;-1
22207;47;F;1;1;Baja;0.0;0.0;-1;31300;-1
12827;33;M;1;1;Alta;0.0;0.0;-1;22628;-1
38688;33;M;1;1;Alta;0.0;0.0;-1;46585;-1
14954;41;M;0;1;Baja;0.0;0.0;-1;24602;-1
20753;24;M;1;1;Alta;0.0;0.0;-1;29945;-1
37816;43;F;0;1;Baja;0.0;0.0;-1;45767;-1
3190;24;F;1;1;Media;0.0;0.0;-1;13886;-1
30388;61;M;1;1;Media;0.3;0.6;-1;38912;-1
7059;39;M;1;1;Media;0.0;0.0;-1;17351;-1
38143;49;M;0;1;Baja;0.0;0.0;1961;46074;-1
33;37;F;1;1;Media;0.0;0.0;-1;11217;-1
26269;32;M;1;1;Alta;0.0;0.0;-1;35079;-1
40062;26;F;1;1;Media;0.0;0.0;-1;47859;-1
4213;41;F;1;1;Media;0.0;0.0;-1;14809;-1
27435;-1;M;0;1;Baja;0.0;0.0;-1;36183;-1
24483;40;M;1;1;Media;0.0;0.0;-1;33417;-1
6623;86;M;1;1;Media;0.0;0.0;-1;-1;-1
15190;30;F;1;1;Media;0.0;0.0;-1;24822;-1
15483;67;F;0;1;Baja;0.0;0.0;-1;-1;-1
25519;27;F;1;1;Alta;0.0;0.0;-1;34384;-1
26946;34;F;1;1;Media;0.0;0.0;-1;35719;-1
19463;26;F;1;1;Baja;0.0;0.0;-1;28737;-1
7100;33;F;1;1;Baja;0.0;0.0;1509;17388;-1
22126;52;F;1;1;Media;0.0;0.0;-1;31226;-1
33768;60;F;1;1;Baja;0.0;0.0;-1;42042;-1
34015;26;F;1;1;Baja;0.0;0.0;303;42277;-1
3399;33;F;1;1;Baja;0.0;0.0;-1;14071;-1
29547;57;F;0;1;Media;0.0;0.0;-1;38134;-1
8180;31;F;1;1;Baja;0.0;0.0;-1;18375;-1
18527;32;M;1;1;Media;0.0;0.0;-1;27894;-1
31146;38;M;1;1;Alta;0.0;0.0;-1;39617;-1
24941;38;F;1;1;Baja;0.0;0.0;-1;33842;-1
33014;41;M;1;1;Alta;0.0;0.0;-1;41348;-1
