llave anónima vde,llave ctp
4042213,161808280516000000
4042398,161480069481006000
4042518,161808885506582000
4042617,161805826775902000
4042677,161953876103584000
4042810,161949832462608000
4042874,161624756730466000
4043256,161783431826965000
4043392,161807146161708000
4044040,161788110520029000
4044319,161964767785753000
4044541,161807812292683000
4044796,162111498298241000
4044829,161641013455129000
4045033,161462039965679000
4045079,161317586240683000
4046183,162266105077220000
4046561,161964308994827000
4046623,161808089043153000
4046943,161807609557024000
4047139,161807039967042000
4047231,161950920634913000
4047812,161953372255439000
4048314,161804359367764000
4048490,161969346071856000
4048890,161642258192047000
4048983,161643451471472000
4049132,161807916878588000
4049368,161478108479319000
4049485,161644048112837000
4049721,161947105609016000
4049760,161467120660641000
4049802,162131504830780000
4049963,161947108828429000
4050041,161622571325518000
4050604,161966797742176000
4051555,161944990462123000
4051661,161944992071819000
4052378,161787941583924000
4052742,162115228290705000
4052819,161948774878531000
4053574,161809617611058000
4053777,161945608585814000
4053881,161806948253494000
4054268,161949584565878000
4054593,161789470056662000
4054901,161807603120973000
4054980,161782400528549000
4055187,161806533129342000
4055514,161783140617562000
4055555,162274192245944000
4055674,161317777423096000
4055902,161964964180664000
4055976,161641775735308000
4056043,161947057317837000
4056316,162108799073117000
4056384,161805865391996000
4056535,161642353075290000
4057014,161791230222634000
4057533,161789238371909000
4057627,161789239980830000
4057712,161461422765536000
4057799,161642452783135000
4057921,161954396049936000
4058310,161787360766176000
4058497,161806212937045000
4058666,161806214546051000
4058802,161632599545225000
4059469,161782785052847000
4059731,161946590503478000
4059797,161969222116000000
4059895,161947379259167000
4060152,161954383171998000
4060217,161964780664104000
4060669,161964236554214000
4060735,161964783883692000
4060961,161641015063313000
4061364,161644738031044000
4061424,161949966069366000
4061641,161142764430735000
4061906,161807677135562000
4061933,161965979962801000
4063072,161625861499296000
4063190,161966073331208000
4063513,161964759736784000
4064106,161945000120297000
4064139,161806206501022000
4064367,162109105070062000
4064761,161808137313608000
4065203,161642454391326000
4065259,161623029632174000
4065356,161789975258713000
4065481,161643843871599000
4065504,161950711370724000
4065702,161641471787933000
4065741,161806534738349000
4065877,161966604565759000
4066310,161963674737564000
4066333,161949067846682000
4066761,161787516830676000
4067134,161949074285545000
4067874,161962969650998000
4067899,161964281628371000
4068076,161964283238162000
4068124,161964284847954000
4068389,161643554396050000
4068726,161806259598214000
4068927,160996166535212000
4069004,161806784134580000
4069100,161643668578041000
4069187,161808409237306000
4069316,161783385169087000
4069508,161784488871029000
4069924,161467022614205000
4070497,161962707256161000
4070564,161644007907859000
4071143,161965960645203000
4071347,161463410990010000
4071412,161783193710970000
4071746,161784572533721000
4071878,161625776269543000
4072532,161808658634981000
4072608,161965556585707000
4072718,161805289369080000
4072831,162110931394680000
4072954,161807691616680000
4073269,161642078074780000
4073352,161807532324425000
4073567,161944599306334000
4073767,161966031476401000
4073926,161787603711977000
4074128,161965550146516000
4074783,161966652859853000
4074856,161964289677328000
4074963,161806792179622000
4075150,161642208338150000
4075590,161807371423237000
4075651,161946679037184000
4075875,161643556004246000
4075990,161804874247055000
4076307,161943094246285000
4076431,161625750539811000
4076614,161783184057622000
4076971,161792132834309000
4077129,161467027436160000
4077248,161952251880263000
4077557,161645966700214000
4077758,161965524389753000
4077857,161790046051420000
4078110,161965997670600000
4078225,161478704815457000
4078268,161786985889901000
4078332,161951968567614000
4078428,161143861128198000
4078549,162270811691448000
4078974,161629201558446000
4079043,162131348600458000
4079098,161967734649431000
4079195,161965992841200000
4079243,161806945035476000
